Компания	У нас на проде	У Cofinder	Статус Cofinder	Сообщение об ошибке	Карьерный сайт	Пример прямой ссылки	Наша разведка
Avito	0	135	ok		https://career.avito.com/vacancies/	https://career.avito.com/vacancies/prodazhi/20526/	нет данных
Cloud.ru	0	132	error	Parser returned 0 vacancies	https://cloud.ru/career/vacancies		нет данных
Билайн	0	106	ok		https://job.beeline.ru/vacancies	https://job.beeline.ru/vacancies/0648683c-1e09-4c9a-975c-a64bc7c5bb76	готов
Aston	0	95	ok		https://career.astondevs.ru/vacancy	https://career.astondevs.ru/vacancy/500010387	нет данных
2ГИС	0	86	ok		https://job.2gis.ru	https://job.2gis.ru/vacancies/hr_administration/524	нет данных
Wildberries / РВБ	0	83	ok		https://career.rwb.ru/vacancies	https://career.rwb.ru/vacancies/39721	готов
GRASS	0	76	ok		https://job.thgrass.com/vacancies	https://job.thgrass.com/vacancies/4119/	нет данных
Lesta Games	0	74	ok		https://join.lesta.team	https://join.lesta.team/vacancy/art-direktor/565	нет адреса вакансии
КРОК	0	73	ok		https://careers.croc.ru/vacancies	https://careers.croc.ru/vacancies/art-direktor/	нет данных
Lamoda	0	71	ok		https://job.lamoda.ru/vacancies	https://job.lamoda.ru/vacancies/moskva/senior-big-data-engineer--3012	нет адреса вакансии
IT_One	0	69	ok		https://www.it-one.ru/vacancies	https://www.it-one.ru/vacancies/1aab70cc4bfa369da6338ea9a7fea314/	нет данных
Тензор	0	69	ok		https://tensor.ru/vacancies	https://tensor.ru/vacancies/505690968	нет данных
Selecty	0	68	ok		https://selecty.ru/it-vacancy	https://selecty.ru/systems-analyst-vibecoding	нет данных
Kaspersky	0	64	ok		https://careers.kaspersky.ru/vacancies	https://careers.kaspersky.ru/vacancy/25884	нет данных
Группа Астра	0	64	ok		https://astra.ru/about/career/vacancies	https://astra.ru/about/career/vacancies/54767/	нет данных
1С	0	44	ok		https://1c.ru/rus/firm1c/vacan/search	https://1c.ru/rus/firm1c/vacan/vacancy/227	нет данных
Солар	0	40	ok		https://team.rt-solar.ru/vacancies	https://team.rt-solar.ru/vacancies/869/	нет данных
